# girsa-ref citation regression corpus. GENERATED by
# girsa-corpus/examples/measure-resolver.rs from Sefaria's link CSVs and
# Otzaria's heRefs. Every line is a citation that genuinely appears in the
# corpus. Do not hand-edit — regenerate.
# source	citation
sefaria	A Dictionary of the Talmud, טְפֵי 1
sefaria	Moed Katan 9b:21
sefaria	A Dictionary of the Talmud, טְפַל 1
sefaria	Bereshit Rabbah 37:8
sefaria	A Dictionary of the Talmud, טְרִיכְסוֹן 1
sefaria	Jerusalem Talmud Yevamot 16:4:4
sefaria	A Dictionary of the Talmud, טְרִסְקֵל 1
sefaria	Chullin 57b:13
sefaria	A Dictionary of the Talmud, טְרַח 1
sefaria	Berakhot 28a:12
sefaria	A Dictionary of the Talmud, טְרַף² 1
sefaria	Jerusalem Talmud Pesachim 3:2:5
sefaria	A Dictionary of the Talmud, טְרָקְסְמוֹן 1
sefaria	Vayikra Rabbah 3:5
sefaria	A Dictionary of the Talmud, טְשֵׁי 1
sefaria	Aramaic Targum to Proverbs 7:22
sefaria	A Dictionary of the Talmud, טִבֵּל 1
sefaria	Midrash Tanchuma, Vayigash 9:3
sefaria	A Dictionary of the Talmud, טִיב 1
sefaria	Jerusalem Talmud Beitzah 2:1:3
sefaria	A Dictionary of the Talmud, טִיבּוּעַ 1
sefaria	Avodah Zarah 28a:14
sefaria	A Dictionary of the Talmud, טִיטְרַפְלִיּוֹת 1
sefaria	Pesikta Rabbati 14:1
sefaria	A Dictionary of the Talmud, טִילָא 1
sefaria	Jerusalem Talmud Taanit 1:4:5
sefaria	A Dictionary of the Talmud, טִינָא 1
sefaria	Shir HaShirim Rabbah 5:3:1
sefaria	A Dictionary of the Talmud, טִיפְּשׁוּת 1
sefaria	Bava Metzia 69a:9
sefaria	A Dictionary of the Talmud, טִירְיָא 1
sefaria	Jerusalem Talmud Yevamot 8:3:11
sefaria	A Dictionary of the Talmud, טִלְטֵל 1
sefaria	Bava Kamma 48a:14
sefaria	A Dictionary of the Talmud, טִפְּשׁוּת 1
sefaria	Mishnah Moed Katan 3:9
sefaria	A Dictionary of the Talmud, טִרְטֵט 1
sefaria	Megillah 18b:7
sefaria	A Dictionary of the Talmud, טֵרֵף 1
sefaria	Sifrei Devarim 296:2-3
sefaria	A Dictionary of the Talmud, טֶטְרַאמוּלִי 1
sefaria	Sotah 15a:9
sefaria	A Dictionary of the Talmud, טַבְהַקִי 1
sefaria	Mishnah Eruvin 5:1
sefaria	A Dictionary of the Talmud, טַבְלָרִין 1
sefaria	Bava Kamma 92a:13
sefaria	A Dictionary of the Talmud, טַוְוזָא 1
sefaria	Tosefta Terumot 2:12
sefaria	A Dictionary of the Talmud, טַחַן 1
sefaria	Bava Batra 74a:1
sefaria	A Dictionary of the Talmud, טַיֵּף 1
sefaria	Targum Jerusalem, Genesis 49:19
sefaria	A Dictionary of the Talmud, טַלְיְתָא 1
sefaria	Kohelet Rabbah 5:10:1
sefaria	A Dictionary of the Talmud, טַלֵּל 1
sefaria	A Dictionary of the Talmud, טַן דּוּ 1
sefaria	Aramaic Targum to Psalms 37:1
sefaria	A Dictionary of the Talmud, טַעֲנָה 1
sefaria	Avodah Zarah 39b:16
sefaria	A Dictionary of the Talmud, טַפִּיטָא 1
sefaria	Jerusalem Talmud Eruvin 3:5:5
sefaria	A Dictionary of the Talmud, טַרְטֵימַר 1
sefaria	Tosefta Kelim Batra 3:1
sefaria	A Dictionary of the Talmud, טַרְפָא 1
sefaria	Bereshit Rabbah 64:10
sefaria	A Dictionary of the Talmud, טַשְׁיוּתָא 1
sefaria	Rosh Hashanah 22a:7
sefaria	A Dictionary of the Talmud, טָבָאוּת 1
sefaria	Chullin 30b:15
sefaria	A Dictionary of the Talmud, טָלֵי 1
sefaria	Jerusalem Talmud Avodah Zarah 4:8:3
sefaria	A Dictionary of the Talmud, טָנֵיס 1
sefaria	Bava Kamma 57a:13
sefaria	A Dictionary of the Talmud, טָעָה 1
sefaria	Sifrei Bamidbar 131:2
sefaria	A Dictionary of the Talmud, טָפַל 1
sefaria	Jerusalem Talmud Ketubot 5:11:3
sefaria	A Dictionary of the Talmud, טָרְמוּסְיָא 1
sefaria	Targum Jonathan on II Kings 8:12
sefaria	A Dictionary of the Talmud, טָרַח 1
sefaria	Mishnah Shabbat 22:6
sefaria	A Dictionary of the Talmud, טָרוֹן 1
sefaria	Nedarim 25a:16
sefaria	A Dictionary of the Talmud, טוֹבְעָנִי 1
sefaria	Sifrei Devarim 118:2
sefaria	A Dictionary of the Talmud, טוֹטָלְוָותָא 1
sefaria	Sifrei Devarim 12:1
sefaria	A Dictionary of the Talmud, טוּבָא 1
sefaria	Mishnah Oholot 17:2
sefaria	A Dictionary of the Talmud, טוּם² 1
sefaria	Shabbat 92a:7
sefaria	A Dictionary of the Talmud, טוּף 1
sefaria	Mishnah Demai 5:4
sefaria	A Dictionary of the Talmud, טוּרְחוּתָא 1
sefaria	Pesachim 39a:4
sefaria	A Dictionary of the Talmud, טוטפראות 1
sefaria	Jerusalem Talmud Sotah 7:5:4
sefaria	A Dictionary of the Talmud, טטפראות 1
sefaria	Targum Jonathan on Deuteronomy 32:24
sefaria	A Dictionary of the Talmud, טיפיטין 1
sefaria	Shabbat 31a:8
sefaria	A Dictionary of the Talmud, טסורא 1
sefaria	Jerusalem Talmud Sukkah 5:1:5
sefaria	A Dictionary of the Talmud, טרכיני 1
sefaria	Targum Jonathan on Deuteronomy 9:25
sefaria	A Dictionary of the Talmud, יְגוֹר 1
sefaria	Megillah 14b:10
sefaria	A Dictionary of the Talmud, יְהוּדִית 1
sefaria	Jerusalem Talmud Gittin 9:8:4
sefaria	A Dictionary of the Talmud, יְחִידַאי 1
sefaria	Targum Jonathan on Joel 3:3
sefaria	A Dictionary of the Talmud, יְמֵי 1
sefaria	Bereshit Rabbah 11:5
sefaria	A Dictionary of the Talmud, יְסַד² 1
sefaria	Bamidbar Rabbah 14:21
sefaria	A Dictionary of the Talmud, יְפַח 1
sefaria	Mishnah Shabbat 1:1
sefaria	A Dictionary of the Talmud, יְצֵף 1
sefaria	Targum Jonathan on Amos 4:11
sefaria	A Dictionary of the Talmud, יְקַד 1
sefaria	Jerusalem Talmud Peah 1:1:25
sefaria	A Dictionary of the Talmud, יְרִידָה 1
sefaria	A Dictionary of the Talmud, יְרוֹקָא 1
sefaria	Sifrei Devarim 80:4
sefaria	A Dictionary of the Talmud, יְתֵדוֹת הַדְּרָכִים 1
sefaria	Bava Batra 8a:14
sefaria	A Dictionary of the Talmud, יִחֵד 1
sefaria	Jerusalem Talmud Gittin 7:4:5
sefaria	A Dictionary of the Talmud, יִיבּוּם 1
sefaria	Shabbat 139b:11
sefaria	A Dictionary of the Talmud, יִיתַּם 1
sefaria	Sanhedrin 64a:8
sefaria	A Dictionary of the Talmud, יִשֵּׁב 1
sefaria	Sifrei Devarim 48:6
sefaria	A Dictionary of the Talmud, יִשּׁוּן 1
sefaria	Onkelos Deuteronomy 10:18
sefaria	A Dictionary of the Talmud, יֵיאוּש 1
sefaria	Jerusalem Talmud Berakhot 4:2:2
sefaria	A Dictionary of the Talmud, יֵשׁוּ 1
sefaria	Chullin 105b:10
sefaria	A Dictionary of the Talmud, יַבִּישְׁתָּא 1
sefaria	Aramaic Targum to Proverbs 17:22
sefaria	A Dictionary of the Talmud, יַהֵר 1
sefaria	Targum Jonathan on Numbers 25:13
sefaria	A Dictionary of the Talmud, יַיחַף 1
sefaria	Jerusalem Talmud Chagigah 2:2:6
sefaria	A Dictionary of the Talmud, יַמָּא דְמִילְחָא 1
sefaria	Bava Batra 74b:12
sefaria	A Dictionary of the Talmud, יַנִּיק 1
sefaria	Jerusalem Talmud Taanit 4:2:13
sefaria	A Dictionary of the Talmud, יַקִּירָא 1
sefaria	Numbers 5:22
sefaria	A Dictionary of the Talmud, יַרְקָנָא 1
sefaria	Aramaic Targum to Psalms 113:5
sefaria	A Dictionary of the Talmud, יַתּוּשׁ 1
sefaria	Bava Metzia 23a:14
sefaria	A Dictionary of the Talmud, יָאנִיבָא 1
sefaria	Pesachim 94a:10
sefaria	A Dictionary of the Talmud, יָחִיד 1
sefaria	Pirkei Avot 2:9
sefaria	A Dictionary of the Talmud, יָם 1
sefaria	Sukkah 56b:7
sefaria	A Dictionary of the Talmud, יָפְיוּת 1
sefaria	Mishnah Chullin 4:7
sefaria	A Dictionary of the Talmud, יָצַת 1
sefaria	Moed Katan 16b:19
sefaria	A Dictionary of the Talmud, יָצָא שְׂכָרוֹ בְהֶפְסֵדוֹ 1
sefaria	Mishnah Kelim 21:2
sefaria	A Dictionary of the Talmud, יָרֵא 1
sefaria	Shemot Rabbah 1:1
sefaria	A Dictionary of the Talmud, יָרוֹד 1
sefaria	Ketubot 103b:1
sefaria	A Dictionary of the Talmud, יָתֵיר 1
sefaria	Berakhot 47a:11
sefaria	A Dictionary of the Talmud, יבלונה 1
sefaria	Esther Rabbah 7:11
sefaria	A Dictionary of the Talmud, יוֹחַי 1
sefaria	Ketubot 72b:5
sefaria	A Dictionary of the Talmud, יוֹמָחְרָא 1
sefaria	Targum Jonathan on Genesis 8:8
sefaria	A Dictionary of the Talmud, יוֹסָה 1
sefaria	Aramaic Targum to Job 28:17
sefaria	A Dictionary of the Talmud, יוֹתְפָיָיה 1
sefaria	Targum Jonathan on Numbers 36:4
sefaria	A Dictionary of the Talmud, יוּדָן 1
sefaria	Targum Jonathan on Joshua 22:23
sefaria	A Dictionary of the Talmud, יואני 1
sefaria	Onkelos Exodus 2:18
sefaria	A Dictionary of the Talmud, ימס 1
sefaria	Chullin 28a:1
sefaria	A Dictionary of the Talmud, ירי 1
sefaria	Jerusalem Talmud Niddah 2:7:4
sefaria	A Dictionary of the Talmud, כְּוָותָהּ 1
sefaria	Bava Batra 8a:10
sefaria	A Dictionary of the Talmud, כְּמַן 1
sefaria	Targum Jerusalem, Genesis 49:7
sefaria	A Dictionary of the Talmud, כְּנֶסֶת הַגְּדוֹלָה 1
sefaria	Aramaic Targum to Job 40:17
sefaria	A Dictionary of the Talmud, כְּפַר קורינוס 1
sefaria	Mishnah Kiddushin 2:3
sefaria	A Dictionary of the Talmud, כְּתַב 1
sefaria	Tosefta Terumot 3:18
sefaria	A Dictionary of the Talmud, כִּיבּוּד 1
sefaria	Bava Batra 8a:3
sefaria	A Dictionary of the Talmud, כֵּיף 1
sefaria	Chullin 47b:10
sefaria	A Dictionary of the Talmud, כַּלְיָא עוֹרֵב 1
sefaria	Onkelos Genesis 8:2
sefaria	A Dictionary of the Talmud, כַּרְדּוּט 1
sefaria	Midrash Tehillim 78:11
sefaria	A Dictionary of the Talmud, כָּחַל 1
sefaria	Bava Metzia 105b:10
sefaria	A Dictionary of the Talmud, כָּרַךְ 1
sefaria	Tosefta Pesachim 2:7
sefaria	A Dictionary of the Talmud, כָּתוּב 1
sefaria	Sotah 8a:4
sefaria	A Dictionary of the Talmud, כְּבֵינָה 1
sefaria	Niddah 39b:5
sefaria	A Dictionary of the Talmud, כְּדִי 1
sefaria	Targum Jonathan on I Kings 22:20
sefaria	A Dictionary of the Talmud, כְּדוּן 1
sefaria	Targum Jonathan on Deuteronomy 4:43
sefaria	A Dictionary of the Talmud, כְּחַשׁ 1
sefaria	Mishnah Bava Metzia 4:10
sefaria	A Dictionary of the Talmud, כְּלֵי 1
sefaria	Jerusalem Talmud Berakhot 4:5:4
sefaria	A Dictionary of the Talmud, כְּלָל 1
sefaria	Targum Jonathan on Numbers 35:20
sefaria	A Dictionary of the Talmud, כְּמֵהוֹת 1
sefaria	Targum Jonathan on Deuteronomy 13:18
sefaria	A Dictionary of the Talmud, כְּנִימָא 1
sefaria	Jerusalem Talmud Sanhedrin 6:6:5
sefaria	A Dictionary of the Talmud, כְּנָת 1
sefaria	Onkelos Leviticus 25:4
sefaria	A Dictionary of the Talmud, כְּסָאן 1
sefaria	Bava Metzia 36a:2
sefaria	A Dictionary of the Talmud, כְּפַן 1
sefaria	Gittin 57a:12
sefaria	A Dictionary of the Talmud, כְּפַר נְבוּר חַיִל 1
sefaria	Jerusalem Talmud Shabbat 14:4:12
sefaria	A Dictionary of the Talmud, כְּפַרְסָבָא 1
sefaria	Shabbat 147a:10
sefaria	A Dictionary of the Talmud, כְּרִיכְתָּא 1
sefaria	Mishnah Kelim 20:1
sefaria	A Dictionary of the Talmud, כְּרַךְ 1
sefaria	Targum Jonathan on Judges 11:35
sefaria	A Dictionary of the Talmud, כְּרוּז 1
sefaria	Onkelos Exodus 28:20
sefaria	A Dictionary of the Talmud, כְּתִיבָה 1
sefaria	Psalms 73:5
sefaria	A Dictionary of the Talmud, כִּבְיָכוֹל 1
sefaria	Midrash Tanchuma, Masei 13:1
sefaria	A Dictionary of the Talmud, כִּהוּן 1
sefaria	Targum Jonathan on II Samuel 7:2
sefaria	A Dictionary of the Talmud, כִּיבּוּש 1
sefaria	Aramaic Targum to Job 38:37
sefaria	A Dictionary of the Talmud, כִּילָיוֹת 1
sefaria	Pesachim 111b:2
sefaria	A Dictionary of the Talmud, כִּיסְנָא 1
sefaria	Moed Katan 3a:4
sefaria	A Dictionary of the Talmud, כִּיפַּת הַיַּרְדֵּן 1
sefaria	Yevamot 11b:2
sefaria	A Dictionary of the Talmud, כִּירָה 1
sefaria	Sanhedrin 56b:2
sefaria	A Dictionary of the Talmud, כִּיתָּא 1
sefaria	Chullin 46a:12
sefaria	A Dictionary of the Talmud, כִּלֵב 1
sefaria	Zevachim 94b:1
sefaria	A Dictionary of the Talmud, כִּסּוּפָא 1
sefaria	Chullin 25b:1
sefaria	A Dictionary of the Talmud, כִּתֵּף 1
sefaria	Targum Jonathan on Amos 5:10
sefaria	A Dictionary of the Talmud, כֵּיפָה 1
sefaria	Shabbat 63b:13
sefaria	A Dictionary of the Talmud, כֶּרֶס 1
sefaria	Midrash Tanchuma, Vayikra 1:1
sefaria	A Dictionary of the Talmud, כַּבְכָּב 1
sefaria	Niddah 56a:23
sefaria	A Dictionary of the Talmud, כַּבָּא 1
sefaria	Targum Jerusalem, Genesis 2:20
sefaria	A Dictionary of the Talmud, כַּדִּיבָא 1
sefaria	Bamidbar Rabbah 15:22
sefaria	A Dictionary of the Talmud, כַּהֲנָא רַבָּא 1
sefaria	Targum Jonathan on Deuteronomy 19:3
sefaria	A Dictionary of the Talmud, כַּוָּנָה 1
sefaria	Yalkut Shimoni on Nach 276:13
sefaria	A Dictionary of the Talmud, כַּחֲלָא 1
sefaria	Aramaic Targum to Proverbs 16:26
sefaria	A Dictionary of the Talmud, כַּכָּא 1
sefaria	Tosefta Shabbat 14:3
sefaria	A Dictionary of the Talmud, כַּלֵּל 1
sefaria	Bamidbar Rabbah 12:17
sefaria	A Dictionary of the Talmud, כַּנֵּי 1
sefaria	Berakhot 57b:8
sefaria	A Dictionary of the Talmud, כַּסֵּף 1
sefaria	Bereshit Rabbah 98:16
sefaria	A Dictionary of the Talmud, כַּפְרוּסָאָה 1
sefaria	Mishnah Horayot 1:2
sefaria	A Dictionary of the Talmud, כַּרְדִּיטִין 1
sefaria	A Dictionary of the Talmud, כַּרְמְלִית 1
sefaria	Avodah Zarah 38b:9
sefaria	A Dictionary of the Talmud, כַּשְׁרוּת 1
sefaria	Bamidbar Rabbah 14:1
sefaria	A Dictionary of the Talmud, כַּתָּא 1
sefaria	Aramaic Targum to Proverbs 15:22
sefaria	A Dictionary of the Talmud, כָּבַשׁ פָּנָיו 1
sefaria	Jerusalem Talmud Berakhot 4:1:24
sefaria	A Dictionary of the Talmud, כָּוָה 1
sefaria	Avodah Zarah 53b:3
sefaria	A Dictionary of the Talmud, כָּלוּל 1
sefaria	Bava Metzia 89b:3
sefaria	A Dictionary of the Talmud, כָּנַס 1
sefaria	Mishnah Pesachim 7:11
sefaria	A Dictionary of the Talmud, כָּעַס 1
sefaria	Mishnah Middot 3:4
sefaria	A Dictionary of the Talmud, כָּפַף 1
sefaria	Bereshit Rabbah 79:1
sefaria	A Dictionary of the Talmud, כָּרַז 1
sefaria	Mishnah Berakhot 5:1
sefaria	A Dictionary of the Talmud, כָּשֵׁר 1
sefaria	Bava Kamma 66b:16
sefaria	A Dictionary of the Talmud, כָּתַשׁ 1
sefaria	Bava Kamma 115a:24
sefaria	A Dictionary of the Talmud, כֹּחַ כֹּחוֹ 1
sefaria	Chullin 18b:10
sefaria	A Dictionary of the Talmud, כּוֹחֲלִין 1
sefaria	Sukkah 22b:8
sefaria	A Dictionary of the Talmud, כּוֹמֶר 1
sefaria	Mishnah Kelim 20:5
sefaria	A Dictionary of the Talmud, כּוֹשֶׁר 1
sefaria	Bereshit Rabbah 49:8
sefaria	A Dictionary of the Talmud, כּוּבָא 1
sefaria	Moed Katan 12a:18
sefaria	A Dictionary of the Talmud, כּוּלְיָא 1
sefaria	Eikhah Rabbah 1:9
sefaria	A Dictionary of the Talmud, כּוּסְבַּר 1
sefaria	Aramaic Targum to Job 42:10
sefaria	A Dictionary of the Talmud, כּוּפְרָא 1
sefaria	Bava Metzia 73b:5
sefaria	A Dictionary of the Talmud, כּוּרְמַיזָא 1
sefaria	Targum Jonathan on Ezekiel 27:24
sefaria	A Dictionary of the Talmud, כּוּתָּח 1
sefaria	Shabbat 110b:4
sefaria	A Dictionary of the Talmud, כולרין 1
sefaria	A Dictionary of the Talmud, כזובה 1
sefaria	Jerusalem Talmud Pesachim 3:1:8
sefaria	A Dictionary of the Talmud, כלבוס 1
sefaria	Jerusalem Talmud Peah 8:4:4
sefaria	A Dictionary of the Talmud, כסוסטא 1
sefaria	Aramaic Targum to Job 6:20
sefaria	A Dictionary of the Talmud, כרדוכאות 1
sefaria	Jerusalem Talmud Shabbat 17:2:5
sefaria	A Dictionary of the Talmud, לְאוֹרָעָא 1
sefaria	Jerusalem Talmud Megillah 3:7:3
sefaria	A Dictionary of the Talmud, לְגִימָא 1
sefaria	Vayikra Rabbah 30:7
sefaria	A Dictionary of the Talmud, לְוַאי 1
sefaria	Targum Jonathan on Exodus 9:34
sefaria	A Dictionary of the Talmud, לְחִישָׁה 1
sefaria	Aramaic Targum to Esther 9:27
sefaria	A Dictionary of the Talmud, לְטֵט 1
sefaria	Sanhedrin 48b:13
sefaria	A Dictionary of the Talmud, לְכַךְ 1
sefaria	Jerusalem Talmud Yoma 3:8:9
sefaria	A Dictionary of the Talmud, לְעִיטָה 1
sefaria	Berakhot 3a:6
sefaria	A Dictionary of the Talmud, לְפוּם 1
sefaria	Targum Jonathan on Deuteronomy 32:2
sefaria	A Dictionary of the Talmud, לְשׁוֹן חָכְמָה 1
sefaria	Shemot Rabbah 46:5
sefaria	A Dictionary of the Talmud, לִבֵּן 1
sefaria	Shabbat 104a:9
sefaria	A Dictionary of the Talmud, לִוָּה 1
sefaria	Bereshit Rabbah 70:12
sefaria	A Dictionary of the Talmud, לִיבְרָה 1
sefaria	Shabbat 13b:1
otzaria	משנה תורה, הלכות יסודי התורה ה, ה
otzaria	משנה תורה, הלכות גירושין א, ו
otzaria	משנה תורה, הלכות גירושין ו, יב
otzaria	משנה תורה, הלכות גירושין ז, יח
otzaria	משנה תורה, הלכות מכירה י, ג
otzaria	משנה תורה, הלכות מכירה יא, ב
otzaria	משנה תורה, הלכות מכירה יג, ה
otzaria	משנה תורה, הלכות מכירה טז, ג
otzaria	משנה תורה, הלכות מכירה א, א
otzaria	משנה תורה, הלכות מכירה כב, טז
otzaria	משנה תורה, הלכות מכירה כט, י
otzaria	משנה תורה, הלכות מכירה ג, יא
otzaria	משנה תורה, הלכות מכירה ד, ה
otzaria	משנה תורה, הלכות מכירה ו, י
otzaria	משנה תורה, הלכות מכירה ט, א
otzaria	משנה תורה, הלכות עדות ח, ב
otzaria	משנה תורה, הלכות שכנים יג, יא
otzaria	משנה תורה, הלכות שכנים ג, ד
otzaria	משנה תורה, הלכות שכנים ט, י
otzaria	במדבר י, ב
otzaria	במדבר י, ג
otzaria	במדבר יא, יא
otzaria	במדבר יא, יז
otzaria	במדבר יא, כ
otzaria	תהילים עח, לא
otzaria	במדבר יא, לג
otzaria	במדבר יא, ה
otzaria	במדבר יב, י
otzaria	במדבר יב, א
otzaria	במדבר יב, ו
otzaria	תהילים קכ, ה
otzaria	במדבר יג, ב
otzaria	במדבר יד, יג
otzaria	במדבר יד, יט
otzaria	במדבר יד, כט
otzaria	במדבר יד, לו
otzaria	במדבר יד, ט
otzaria	במדבר טו, ל
otzaria	במדבר טו, לט
otzaria	במדבר טז, יג
otzaria	במדבר טז, א
otzaria	במדבר טז, כד
otzaria	במדבר טז, ל
otzaria	במדבר טז, ג
otzaria	במדבר יז, יא
otzaria	במדבר יז, ג
otzaria	במדבר יח, יא
otzaria	במדבר יח, כב
otzaria	במדבר יח, ד
otzaria	במדבר יט, יג
otzaria	במדבר יט, ב
otzaria	במדבר א, טז
otzaria	במדבר א, מז
otzaria	במדבר א, נב
otzaria	במדבר כ, טז
otzaria	במדבר כ, כו
otzaria	במדבר כ, ח
otzaria	במדבר כא, טו
otzaria	במדבר כא, כד
otzaria	במדבר כא, כט
otzaria	רמב"ן על במדבר,  כב, יג, א
otzaria	במדבר כב, כה
otzaria	במדבר כב, לב
otzaria	במדבר כב, ד
otzaria	במדבר כב, ח
otzaria	במדבר כג, א
otzaria	במדבר כג, כד
otzaria	במדבר כג, ח
otzaria	ישעיהו כב, ה
otzaria	במדבר כד, כג
otzaria	במדבר כד, ד
otzaria	במדבר כד, ט
otzaria	במדבר כה, יח
otzaria	במדבר כה, ח
otzaria	במדבר כו, מב
otzaria	במדבר כז, יא
otzaria	במדבר כז, ג
otzaria	במדבר כח, טז
otzaria	במדבר כט, ח
otzaria	במדבר ב, ג
otzaria	במדבר לב, כח
otzaria	במדבר ל, ט
otzaria	במדבר לא, יז
otzaria	במדבר לא, ל
otzaria	במדבר לא, נא
otzaria	במדבר לב, יג
otzaria	במדבר לב, כט
otzaria	במדבר לב, ז
otzaria	במדבר לג, מט
otzaria	במדבר לד, י
otzaria	במדבר לה, יא
otzaria	במדבר לה, לג
otzaria	במדבר לו, ח
otzaria	במדבר ג, כג
otzaria	במדבר ג, לא
otzaria	במדבר ג, ו
otzaria	רמב"ן על במדבר,  ד, טז, א
otzaria	במדבר ד, כד
otzaria	במדבר ד, ה
otzaria	במדבר ה, יד
otzaria	במדבר ה, יח
otzaria	במדבר ה, ב
otzaria	במדבר ו, יב
otzaria	במדבר ו, כד
otzaria	במדבר ו, ג
otzaria	במדבר ז, א
otzaria	במדבר ז, פט
otzaria	במדבר ח, יט
otzaria	במדבר ח, ב
otzaria	במדבר ח, ז
otzaria	במדבר ט, יח
otzaria	אבי עזר, במדבר,  יא, יד, א
otzaria	אבי עזר, במדבר,  יד, ב, א
otzaria	אבי עזר, במדבר,  א, יט, א
otzaria	אבי עזר, במדבר,  כב, יג, א
otzaria	אבי עזר, במדבר,  כג, יג, א
otzaria	אבי עזר, במדבר,  כח, יד, א
otzaria	אבי עזר, במדבר,  לד, י, א
otzaria	אבי עזר, במדבר,  ד, ו, א
otzaria	אבי עזר, במדבר,  ח, ח, א
otzaria	שמות יג, ב
otzaria	שמות מ, ב
otzaria	בראשית א, ט
otzaria	בראשית ה, כט
otzaria	משלי י, י
otzaria	משלי י, טז
otzaria	משלי י, כ
otzaria	משלי י, כז
otzaria	משלי י, ג
otzaria	משלי י, ח
otzaria	משלי יא, טז
otzaria	משלי יא, כד
otzaria	משלי יא, ב
otzaria	משלי יא, ו
otzaria	משלי יב, יד
otzaria	משלי יב, כא
otzaria	משלי יב, כח
otzaria	משלי יג, י
otzaria	משלי יג, טז
otzaria	משלי יג, כא
otzaria	משלי יג, ד
otzaria	משלי יד, י
otzaria	משלי יד, יח
otzaria	משלי יד, כב
otzaria	משלי יד, כז
otzaria	משלי יד, לג
otzaria	משלי יד, ה
otzaria	משלי טו, י
otzaria	משלי טו, יט
otzaria	משלי טו, כז
otzaria	משלי טו, ו
otzaria	משלי טז, יד
otzaria	משלי טז, כא
otzaria	משלי טז, ל
otzaria	משלי יז, י
otzaria	משלי יז, א
otzaria	משלי יז, ג
otzaria	משלי יח, י
otzaria	משלי יח, יז
otzaria	משלי יח, ב
otzaria	משלי יט, יב
otzaria	משלי יט, יח
otzaria	משלי יט, כד
otzaria	משלי יט, ד
otzaria	משלי א, יג
otzaria	משלי א, כב
otzaria	משלי א, ד
otzaria	משלי כ, יט
otzaria	משלי כ, כז
otzaria	משלי כ, ז
otzaria	משלי כא, טו
otzaria	משלי כא, כא
otzaria	משלי כא, כז
otzaria	משלי כא, ו
otzaria	משלי כב, יד
otzaria	משלי כב, כב
otzaria	משלי כב, ד
otzaria	משלי כג, יד
otzaria	משלי כג, כג
otzaria	משלי כג, כט
otzaria	משלי כג, לה
otzaria	משלי כד, י
otzaria	משלי כד, יח
otzaria	משלי כד, כב
otzaria	משלי כד, ג
otzaria	משלי כה, יג
otzaria	משלי כה, א
otzaria	משלי כה, כז
otzaria	משלי כה, ט
otzaria	משלי כו, טז
otzaria	משלי כו, כג
otzaria	משלי כו, ז
otzaria	משלי כז, טו
otzaria	משלי כז, כג
otzaria	משלי כז, ו
otzaria	משלי כח, טו
otzaria	משלי כח, כב
otzaria	משלי כח, ד
otzaria	משלי כט, יא
otzaria	משלי כט, יז
otzaria	משלי כט, כב
otzaria	משלי כט, ז
otzaria	משלי ב, יז
otzaria	משלי ל, י
otzaria	משלי ל, יט
otzaria	משלי ל, כ
otzaria	משלי ל, כו
otzaria	משלי ל, לב
otzaria	משלי ל, ה
otzaria	משלי לא, יא
otzaria	משלי לא, א
otzaria	משלי לא, ל
otzaria	משלי ג, יג
otzaria	משלי ג, כז
otzaria	משלי ג, ו
otzaria	משלי ד, כה
otzaria	משלי ה, טו
otzaria	משלי ה, ז
otzaria	משלי ו, כב
otzaria	משלי ו, לג
otzaria	משלי ז, יא
otzaria	משלי ז, כג
otzaria	משלי ח, יג
otzaria	משלי ח, כב
otzaria	משלי ח, כח
otzaria	משלי ח, לה
otzaria	משלי ט, יא
otzaria	משלי ט, א
otzaria	משלי ט, ז
otzaria	חבקוק א, א
otzaria	חבקוק א, ב
otzaria	ישעיהו יא, ט
otzaria	ויקרא כו, לד
otzaria	חבקוק ב, ד
otzaria	עובדיה א, יח
otzaria	חבקוק ג, יט
otzaria	דברים לב, כד
otzaria	יומא י., י
otzaria	עובדיה א, יז
otzaria	יחזקאל ל, ט
otzaria	עובדיה א, כא
otzaria	משלי ל, ד
otzaria	ראש השנה כ:, ז
otzaria	דניאל ח, כו
otzaria	דברים ט, א
otzaria	שמות יב, יח
otzaria	שמות יב, ב
otzaria	שמות טז, כה
otzaria	שמות לד, יח
otzaria	בראשית א, א
otzaria	בראשית כח, כב
otzaria	מלכים ב ז, ט
otzaria	ירמיהו ד, כג
otzaria	ויקרא כב, ו
otzaria	ויקרא כה, ד
otzaria	במדבר ג, יג
otzaria	זכריה א, טו
otzaria	תהילים פט, ז
otzaria	סנהדרין צא:, ג
otzaria	רות ב, א
otzaria	משלי כד, טז
otzaria	סנהדרין קה., ח
otzaria	סנהדרין כט., לג
otzaria	משלי כז, יט
otzaria	תהילים קטז, טו
otzaria	זכריה י, ח
otzaria	סוכה נב:, ו
otzaria	תהילים קלט, ה
otzaria	בבא בתרא קי., ב
otzaria	בבא מציעא פד:, יא
otzaria	ברכות נה., י
otzaria	בראשית רבה א, ג
otzaria	בראשית רבה ו, ו
otzaria	חולין ס:, ב
otzaria	דברים כ, טז
otzaria	דברים לב, ד
otzaria	דברים ו, ו
otzaria	קהלת ז, יב
otzaria	שמות יד, כ
otzaria	שמות כ, ג
otzaria	שמות לא, יז
otzaria	בראשית יא, ל
otzaria	בראשית יב, א
otzaria	בראשית יב, יח
otzaria	בראשית יב, ד
otzaria	בראשית יג, ח
otzaria	בראשית יד, יט
