# girsa-ref citation regression corpus. GENERATED by
# girsa-corpus/examples/measure-resolver.rs from Sefaria's link CSVs and
# Otzaria's heRefs. Every line is a citation that genuinely appears in the
# corpus. Do not hand-edit — regenerate.
# source	citation
sefaria	Numbers 7:14
sefaria	A Dictionary of the Talmud, בָּחַל 1
sefaria	Tosefta Bava Metzia 4:11
sefaria	A Dictionary of the Talmud, בָּלַם 1
sefaria	Jerusalem Talmud Rosh Hashanah 1:1:5
sefaria	A Dictionary of the Talmud, בָּלוּל 1
sefaria	Yoma 25a:4
sefaria	A Dictionary of the Talmud, בָּסִים 1
sefaria	Bereshit Rabbah 67:13
sefaria	A Dictionary of the Talmud, בָּעַט 1
sefaria	Bava Metzia 21a:13
sefaria	A Dictionary of the Talmud, בָּקַר 1
sefaria	Eruvin 62a:8-9
sefaria	A Dictionary of the Talmud, בָּרֵיךְ 1
sefaria	Eruvin 19b:8
sefaria	A Dictionary of the Talmud, בָּרוֹקָא 1
sefaria	Berakhot 33a:1
sefaria	A Dictionary of the Talmud, בּוֹז 1
sefaria	Onkelos Numbers 24:6
sefaria	A Dictionary of the Talmud, בּוֹרִיָּה 1
sefaria	Chullin 85b:12
sefaria	A Dictionary of the Talmud, בּוּטִי 1
sefaria	Chullin 52a:14
sefaria	A Dictionary of the Talmud, בּוּלְבּוּטָס 1
sefaria	Yoma 83a:11
sefaria	A Dictionary of the Talmud, בּוּנְיוֹס 1
sefaria	Onkelos Exodus 30:25
sefaria	A Dictionary of the Talmud, בּוּצְיָא 1
sefaria	Avodah Zarah 18b:5
sefaria	A Dictionary of the Talmud, בּוּר² 1
sefaria	Bereshit Rabbah 36:3
sefaria	A Dictionary of the Talmud, בּוּרְלְתָא 1
sefaria	Mishnah Shabbat 1:2
sefaria	A Dictionary of the Talmud, בּוּרוּת 1
sefaria	Yoma 10a:2
sefaria	A Dictionary of the Talmud, בבוייא 1
sefaria	Yalkut Shimoni on Nach 924:3
sefaria	A Dictionary of the Talmud, ביצים 1
sefaria	Berakhot 5b:14
sefaria	A Dictionary of the Talmud, בלח 1
sefaria	Jerusalem Talmud Rosh Hashanah 1:3:6
sefaria	A Dictionary of the Talmud, בעד 1
sefaria	Pesikta Rabbati 33:1
sefaria	A Dictionary of the Talmud, גְּוִיל 1
sefaria	Jerusalem Talmud Orlah 3:1:12
sefaria	A Dictionary of the Talmud, גְּמַל 1
sefaria	Chagigah 12a:15
sefaria	A Dictionary of the Talmud, גְּרַר 1
sefaria	Onkelos Genesis 36:24
sefaria	A Dictionary of the Talmud, גִּיהֵץ 1
sefaria	Midrash Tehillim 23:3
sefaria	A Dictionary of the Talmud, גַּדֶּלֶת 1
sefaria	Bava Batra 74a:6
sefaria	A Dictionary of the Talmud, גַּלְגַּל 1
sefaria	Berakhot 36b:5
sefaria	A Dictionary of the Talmud, גָּהַק 1
sefaria	Pesachim 13b:8
sefaria	A Dictionary of the Talmud, גָאדִיל 1
sefaria	Megillah 15a:20
sefaria	A Dictionary of the Talmud, גְּבִילָה 1
sefaria	Bereshit Rabbah 61:7
sefaria	A Dictionary of the Talmud, גְּבַה 1
sefaria	Pesachim 76a:1
sefaria	A Dictionary of the Talmud, גְּבַרְתָּנִית 1
sefaria	Berakhot 9b:11
sefaria	A Dictionary of the Talmud, גְּבוּרָא 1
sefaria	Onkelos Exodus 28:14
sefaria	A Dictionary of the Talmud, גְּדַע 1
sefaria	Bereshit Rabbah 100:5
sefaria	A Dictionary of the Talmud, גְּוִויָּה 1
sefaria	Pesachim 111b:5
sefaria	A Dictionary of the Talmud, גְּזַז 1
sefaria	Jerusalem Talmud Megillah 1:11:4
sefaria	A Dictionary of the Talmud, גְּזוּזְטְרָא 1
sefaria	Mishnah Mikvaot 7:1
sefaria	A Dictionary of the Talmud, גְּלִיפָה 1
sefaria	Targum Jerusalem, Genesis 28:10
sefaria	A Dictionary of the Talmud, גְּלָל 1
sefaria	Targum Jonathan on Haggai 2:23
sefaria	A Dictionary of the Talmud, גְּלוּסְקָאן 1
sefaria	Mishnah Peah 1:1
sefaria	A Dictionary of the Talmud, גְּמַר 1
sefaria	Chullin 98b:8
sefaria	A Dictionary of the Talmud, גְּנִיבָא 1
sefaria	Berakhot 33b:22
sefaria	A Dictionary of the Talmud, גְּנוּבְתָּא 1
sefaria	Mishnah Pesachim 10:4
sefaria	A Dictionary of the Talmud, גְּרִי 1
sefaria	Yevamot 75b:14
sefaria	A Dictionary of the Talmud, גְּרֵידָא 1
sefaria	Berakhot 8a:29
sefaria	A Dictionary of the Talmud, גְּרָמָא 1
sefaria	Bava Batra 89b:1
sefaria	A Dictionary of the Talmud, גִּבּוּי 1
sefaria	Mishnah Peah 2:8
sefaria	A Dictionary of the Talmud, גִּיּוֹרֵי 1
sefaria	Sanhedrin 67b:17
sefaria	A Dictionary of the Talmud, גִּיבְתּוֹן 1
sefaria	Shabbat 155b:15
sefaria	A Dictionary of the Talmud, גִּיד 1
sefaria	Eruvin 93b:9
sefaria	A Dictionary of the Talmud, גִּידוֹ 1
sefaria	Aramaic Targum to Esther 10:3
sefaria	A Dictionary of the Talmud, גִּיזוּם 1
sefaria	Targum Jonathan on Judges 5:20
sefaria	A Dictionary of the Talmud, גִּיל 1
sefaria	Jerusalem Talmud Pesachim 3:3:2
sefaria	A Dictionary of the Talmud, גִּילָא² 1
sefaria	Avodah Zarah 30a:14
sefaria	A Dictionary of the Talmud, גִּימַטְרִיוֹן 1
sefaria	Onkelos Genesis 2:8
sefaria	A Dictionary of the Talmud, גִּינּוּן 1
sefaria	Chullin 21a:9
sefaria	A Dictionary of the Talmud, גִּיעוּלֵי בֵּצִים 1
sefaria	Bava Batra 97b:11
sefaria	A Dictionary of the Talmud, גִּירְדָא 1
sefaria	Shabbat 21b:2
sefaria	A Dictionary of the Talmud, גִּירָא² 1
sefaria	Mishnah Bava Batra 1:3
sefaria	A Dictionary of the Talmud, גִּלְגֵּל 1
sefaria	Jerusalem Talmud Yevamot 8:6:5
sefaria	A Dictionary of the Talmud, גִּמֵּר 1
sefaria	Shabbat 66b:11
sefaria	A Dictionary of the Talmud, גִּרְסָא 1
sefaria	Chullin 92a:5
sefaria	A Dictionary of the Talmud, גֵּט חוֹב 1
sefaria	Aramaic Targum to Job 22:29
sefaria	A Dictionary of the Talmud, גֵּיט 1
