# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
Melekhet Shelomoh on Mishneh Torah, Oaths	melekhet-shelomoh-on-mishneh-torah/oaths	מלאכת שלמה על משנה תורה, הלכות שבועות	Melekhet Shelomoh on Mishneh Torah, Oaths
Melekhet Shelomoh on Mishneh Torah, One Who Injures a Person or Property	melekhet-shelomoh-on-mishneh-torah/one-who-injures-a-person-or-property	מלאכת שלמה על משנה תורה, הלכות חובל ומזיק	Melekhet Shelomoh on Mishneh Torah, One Who Injures a Person or Property
Melekhet Shelomoh on Mishneh Torah, Ownerless Property and Gifts	melekhet-shelomoh-on-mishneh-torah/ownerless-property-and-gifts	מלאכת שלמה על משנה תורה, הלכות זכייה ומתנה	Melekhet Shelomoh on Mishneh Torah, Ownerless Property and Gifts
Melekhet Shelomoh on Mishneh Torah, Paschal Offering	melekhet-shelomoh-on-mishneh-torah/paschal-offering	מלאכת שלמה על משנה תורה, הלכות קרבן פסח	Melekhet Shelomoh on Mishneh Torah, Paschal Offering
Melekhet Shelomoh on Mishneh Torah, Plaintiff and Defendant	melekhet-shelomoh-on-mishneh-torah/plaintiff-and-defendant	מלאכת שלמה על משנה תורה, הלכות טוען ונטען	Melekhet Shelomoh on Mishneh Torah, Plaintiff and Defendant
Melekhet Shelomoh on Mishneh Torah, Prayer and the Priestly Blessing	melekhet-shelomoh-on-mishneh-torah/prayer-and-the-priestly-blessing	מלאכת שלמה על משנה תורה, הלכות תפילה וברכת כהנים	Melekhet Shelomoh on Mishneh Torah, Prayer and the Priestly Blessing
Melekhet Shelomoh on Mishneh Torah, Rebels	melekhet-shelomoh-on-mishneh-torah/rebels	מלאכת שלמה על משנה תורה, הלכות ממרים	Melekhet Shelomoh on Mishneh Torah, Rebels
Melekhet Shelomoh on Mishneh Torah, Red Heifer	melekhet-shelomoh-on-mishneh-torah/red-heifer	מלאכת שלמה על משנה תורה, הלכות פרה אדומה	Melekhet Shelomoh on Mishneh Torah, Red Heifer
Melekhet Shelomoh on Mishneh Torah, Rest on a Holiday	melekhet-shelomoh-on-mishneh-torah/rest-on-a-holiday	מלאכת שלמה על משנה תורה, הלכות שביתת יום טוב	Melekhet Shelomoh on Mishneh Torah, Rest on a Holiday
Melekhet Shelomoh on Mishneh Torah, Ritual Slaughter	melekhet-shelomoh-on-mishneh-torah/ritual-slaughter	מלאכת שלמה על משנה תורה, הלכות שחיטה	Melekhet Shelomoh on Mishneh Torah, Ritual Slaughter
Melekhet Shelomoh on Mishneh Torah, Robbery and Lost Property	melekhet-shelomoh-on-mishneh-torah/robbery-and-lost-property	מלאכת שלמה על משנה תורה, הלכות גזילה ואבידה	Melekhet Shelomoh on Mishneh Torah, Robbery and Lost Property
Melekhet Shelomoh on Mishneh Torah, Sabbath	melekhet-shelomoh-on-mishneh-torah/sabbath	מלאכת שלמה על משנה תורה, הלכות שבת	Melekhet Shelomoh on Mishneh Torah, Sabbath
Melekhet Shelomoh on Mishneh Torah, Sacrifices Rendered Unfit	melekhet-shelomoh-on-mishneh-torah/sacrifices-rendered-unfit	מלאכת שלמה על משנה תורה, הלכות פסולי המוקדשין	Melekhet Shelomoh on Mishneh Torah, Sacrifices Rendered Unfit
Melekhet Shelomoh on Mishneh Torah, Sacrificial Procedure	melekhet-shelomoh-on-mishneh-torah/sacrificial-procedure	מלאכת שלמה על משנה תורה, הלכות מעשה הקרבנות	Melekhet Shelomoh on Mishneh Torah, Sacrificial Procedure
Melekhet Shelomoh on Mishneh Torah, Sales	melekhet-shelomoh-on-mishneh-torah/sales	מלאכת שלמה על משנה תורה, הלכות מכירה	Melekhet Shelomoh on Mishneh Torah, Sales
Melekhet Shelomoh on Mishneh Torah, Sheqel Dues	melekhet-shelomoh-on-mishneh-torah/sheqel-dues	מלאכת שלמה על משנה תורה, הלכות שקלים	Melekhet Shelomoh on Mishneh Torah, Sheqel Dues
Melekhet Shelomoh on Mishneh Torah, Shofar, Sukkah and Lulav	melekhet-shelomoh-on-mishneh-torah/shofar/sukkah-and-lulav	מלאכת שלמה על משנה תורה, הלכות שופר וסוכה ולולב	Melekhet Shelomoh on Mishneh Torah, Shofar, Sukkah and Lulav
Melekhet Shelomoh on Mishneh Torah, Slaves	melekhet-shelomoh-on-mishneh-torah/slaves	מלאכת שלמה על משנה תורה, הלכות עבדים	Melekhet Shelomoh on Mishneh Torah, Slaves
Melekhet Shelomoh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll	melekhet-shelomoh-on-mishneh-torah/tefillin/mezuzah-and-the-torah-scroll	מלאכת שלמה על משנה תורה, הלכות תפילין ומזוזה וספר תורה	Melekhet Shelomoh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll
Melekhet Shelomoh on Mishneh Torah, Testimony	melekhet-shelomoh-on-mishneh-torah/testimony	מלאכת שלמה על משנה תורה, הלכות עדות	Melekhet Shelomoh on Mishneh Torah, Testimony
Melekhet Shelomoh on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction	melekhet-shelomoh-on-mishneh-torah/the-sanhedrin-and-the-penalties-within-their-jurisdiction	מלאכת שלמה על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	Melekhet Shelomoh on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction
Melekhet Shelomoh on Mishneh Torah, Theft	melekhet-shelomoh-on-mishneh-torah/theft	מלאכת שלמה על משנה תורה, הלכות גניבה	Melekhet Shelomoh on Mishneh Torah, Theft
Melekhet Shelomoh on Mishneh Torah, Torah Study	melekhet-shelomoh-on-mishneh-torah/torah-study	מלאכת שלמה על משנה תורה, הלכות תלמוד תורה	Melekhet Shelomoh on Mishneh Torah, Torah Study
Melekhet Shelomoh on Mishneh Torah, Trespass	melekhet-shelomoh-on-mishneh-torah/trespass	מלאכת שלמה על משנה תורה, הלכות מעילה	Melekhet Shelomoh on Mishneh Torah, Trespass
Melekhet Shelomoh on Mishneh Torah, Vows	melekhet-shelomoh-on-mishneh-torah/vows	מלאכת שלמה על משנה תורה, הלכות נדרים	Melekhet Shelomoh on Mishneh Torah, Vows
Melekhet Shelomoh on Mishneh Torah, Woman Suspected of Infidelity	melekhet-shelomoh-on-mishneh-torah/woman-suspected-of-infidelity	מלאכת שלמה על משנה תורה, הלכות סוטה	Melekhet Shelomoh on Mishneh Torah, Woman Suspected of Infidelity
Melekhet Shelomoh on Pirkei Avot	melekhet-shelomoh-on-pirkei-avot	מלאכת שלמה על משנה אבות	Melekhet Shelomoh on Pirkei Avot
Men.	bavli/menachot	מנחות	Menachot
Menachot	bavli/menachot	מנחות	Menachot
Menahot	bavli/menachot	מנחות	Menachot
Menaḥot	mishnah-menachot	משנה מנחות	Mishnah Menachot
Menorat HaMaor	menorat-hamaor	מנורת המאור	Menorat HaMaor
Menot HaLevi on Esther	menot-halevi-on-esther	מנות הלוי על אסתר	Menot HaLevi on Esther
Meshech Chochma	meshekh-chokhmah	משך חכמה	Meshekh Chokhmah
Meshech Hochma	meshekh-chokhmah	משך חכמה	Meshekh Chokhmah
Meshekh Chokhmah	meshekh-chokhmah	משך חכמה	Meshekh Chokhmah
Meshiv HaTa'ana	meshiv-hataanah	משיב הטענה	Meshiv HaTa'anah
Meshiv HaTa'anah	meshiv-hataanah	משיב הטענה	Meshiv HaTa'anah
Meshiv Tzedek	meshiv-tzedek	משיב צדק	Meshiv Tzedek
Mesilat Yesharim	mesillat-yesharim	מסילת ישרים	Mesillat Yesharim
Mesillas Yeshorim	mesillat-yesharim	מסילת ישרים	Mesillat Yesharim
Mesillat Yesharim	mesillat-yesharim	מסילת ישרים	Mesillat Yesharim
Mesorat HaShas on Tractate Avadim	bavli/mesorat-hashas-on-tractate-avadim	מסורת הש״ס על מסכת עבדים	Mesorat HaShas on Tractate Avadim
Mesorat HaShas on Tractate Kutim	bavli/mesorat-hashas-on-tractate-kutim	מסורת הש״ס על מסכת כותים	Mesorat HaShas on Tractate Kutim
Mesorat HaShas on Tractate Mezuzah	bavli/mesorat-hashas-on-tractate-mezuzah	מסורת הש״ס על מסכת מזוזה	Mesorat HaShas on Tractate Mezuzah
Mesorat HaShas on Tractate Sefer Torah	bavli/mesorat-hashas-on-tractate-sefer-torah	מסורת הש״ס על מסכת ספר תורה	Mesorat HaShas on Tractate Sefer Torah
Mesorat HaShas on Tractate Tefillin	bavli/mesorat-hashas-on-tractate-tefillin	מסורת הש״ס על מסכת תפילין	Mesorat HaShas on Tractate Tefillin
Mesorat HaShas on Tractate Tzitzit	bavli/mesorat-hashas-on-tractate-tzitzit	מסורת הש״ס על מסכת ציצית	Mesorat HaShas on Tractate Tzitzit
Messilat Yesharim	mesillat-yesharim	מסילת ישרים	Mesillat Yesharim
Metsudah Rosh Hashanah Machzor	machzor-rosh-hashanah-ashkenaz-linear	מחזור לראש השנה - אשכנז	Machzor Rosh Hashanah Ashkenaz Linear
Metzudat David on 1 Chr	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on 1 Chron	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on 1 Chron.	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on 1 Chronicles	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on 1 Kings	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on 1 Samuel	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on 1Ch	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on 1Ch.	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on 1Sam	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on 1Sam.	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on 2 Chr	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on 2 Chron	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on 2 Chron.	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on 2 Chronicles	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on 2 Kings	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on 2 Sam	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on 2 Samuel	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on 2Ch	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on 2Ch.	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on 2Sam	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on 2Sam.	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on Amos	metzudat-david-on-amos	מצודת דוד על עמוס	Metzudat David on Amos
Metzudat David on Canticles	metzudat-david-on-song-of-songs	מצודת דוד על שיר השירים	Metzudat David on Song of Songs
Metzudat David on Chaggai	metzudat-david-on-haggai	מצודת דוד על חגי	Metzudat David on Haggai
Metzudat David on Chronicles I	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on Chronicles II	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on Dan	metzudat-david-on-daniel	מצודת דוד על דניאל	Metzudat David on Daniel
Metzudat David on Dan.	metzudat-david-on-daniel	מצודת דוד על דניאל	Metzudat David on Daniel
Metzudat David on Daniel	metzudat-david-on-daniel	מצודת דוד על דניאל	Metzudat David on Daniel
Metzudat David on Divrei HaYamim Aleph	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on Divrei HaYamim Bet	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on Divrei HaYamim I	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on Divrei HaYamim II	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on Ecc	metzudat-david-on-ecclesiastes	מצודת דוד על קהלת	Metzudat David on Ecclesiastes
Metzudat David on Ecc.	metzudat-david-on-ecclesiastes	מצודת דוד על קהלת	Metzudat David on Ecclesiastes
Metzudat David on Eccles.	metzudat-david-on-ecclesiastes	מצודת דוד על קהלת	Metzudat David on Ecclesiastes
Metzudat David on Ecclesiastes	metzudat-david-on-ecclesiastes	מצודת דוד על קהלת	Metzudat David on Ecclesiastes
Metzudat David on Ezek	metzudat-david-on-ezekiel	מצודת דוד על יחזקאל	Metzudat David on Ezekiel
Metzudat David on Ezek.	metzudat-david-on-ezekiel	מצודת דוד על יחזקאל	Metzudat David on Ezekiel
Metzudat David on Ezekiel	metzudat-david-on-ezekiel	מצודת דוד על יחזקאל	Metzudat David on Ezekiel
Metzudat David on Ezr	metzudat-david-on-ezra	מצודת דוד על עזרא	Metzudat David on Ezra
Metzudat David on Ezr.	metzudat-david-on-ezra	מצודת דוד על עזרא	Metzudat David on Ezra
Metzudat David on Ezra	metzudat-david-on-ezra	מצודת דוד על עזרא	Metzudat David on Ezra
Metzudat David on First Chronicles	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on First Kings	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on First Samuel	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on Hab	metzudat-david-on-habakkuk	מצודת דוד על חבקוק	Metzudat David on Habakkuk
Metzudat David on Hab.	metzudat-david-on-habakkuk	מצודת דוד על חבקוק	Metzudat David on Habakkuk
Metzudat David on Habakkuk	metzudat-david-on-habakkuk	מצודת דוד על חבקוק	Metzudat David on Habakkuk
Metzudat David on Habakuk	metzudat-david-on-habakkuk	מצודת דוד על חבקוק	Metzudat David on Habakkuk
Metzudat David on Hag	metzudat-david-on-haggai	מצודת דוד על חגי	Metzudat David on Haggai
Metzudat David on Hag.	metzudat-david-on-haggai	מצודת דוד על חגי	Metzudat David on Haggai
Metzudat David on Haggai	metzudat-david-on-haggai	מצודת דוד על חגי	Metzudat David on Haggai
Metzudat David on Havakkuk	metzudat-david-on-habakkuk	מצודת דוד על חבקוק	Metzudat David on Habakkuk
Metzudat David on Hos	metzudat-david-on-hosea	מצודת דוד על הושע	Metzudat David on Hosea
Metzudat David on Hos.	metzudat-david-on-hosea	מצודת דוד על הושע	Metzudat David on Hosea
Metzudat David on Hosea	metzudat-david-on-hosea	מצודת דוד על הושע	Metzudat David on Hosea
Metzudat David on Hoshea	metzudat-david-on-hosea	מצודת דוד על הושע	Metzudat David on Hosea
Metzudat David on I Chr	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on I Chr.	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on I Chronicles	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on I Divrei Ha-Yamim	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on I Divrei Ha-yamim	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on I Divrei HaYamim	metzudat-david-on-i-chronicles	מצודת דוד על דברי הימים א	Metzudat David on I Chronicles
Metzudat David on I Kings	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on I Melachim	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on I Melakhim	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on I Sam	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on I Sam.	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on I Samuel	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on I Shemuel	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on I Shmuel	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on II Chr	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on II Chr.	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on II Chronicles	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on II Divrei Ha-Yamim	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on II Divrei Ha-yamim	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on II Divrei HaYamim	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on II Kings	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on II Melachim	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on II Melakhim	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on II Sam	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on II Sam.	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on II Samuel	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on II Shemuel	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on II Shmuel	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on Isa	metzudat-david-on-isaiah	מצודת דוד על ישעיהו	Metzudat David on Isaiah
Metzudat David on Isa.	metzudat-david-on-isaiah	מצודת דוד על ישעיהו	Metzudat David on Isaiah
Metzudat David on Isaiah	metzudat-david-on-isaiah	מצודת דוד על ישעיהו	Metzudat David on Isaiah
Metzudat David on Iyov	metzudat-david-on-job	מצודת דוד על איוב	Metzudat David on Job
Metzudat David on Iyyov	metzudat-david-on-job	מצודת דוד על איוב	Metzudat David on Job
Metzudat David on Jdg	metzudat-david-on-judges	מצודת דוד על שופטים	Metzudat David on Judges
Metzudat David on Jdg.	metzudat-david-on-judges	מצודת דוד על שופטים	Metzudat David on Judges
Metzudat David on Jer	metzudat-david-on-jeremiah	מצודת דוד על ירמיהו	Metzudat David on Jeremiah
Metzudat David on Jer.	metzudat-david-on-jeremiah	מצודת דוד על ירמיהו	Metzudat David on Jeremiah
Metzudat David on Jeremiah	metzudat-david-on-jeremiah	מצודת דוד על ירמיהו	Metzudat David on Jeremiah
Metzudat David on Job	metzudat-david-on-job	מצודת דוד על איוב	Metzudat David on Job
Metzudat David on Joel	metzudat-david-on-joel	מצודת דוד על יואל	Metzudat David on Joel
Metzudat David on Jon	metzudat-david-on-jonah	מצודת דוד על יונה	Metzudat David on Jonah
Metzudat David on Jon.	metzudat-david-on-jonah	מצודת דוד על יונה	Metzudat David on Jonah
Metzudat David on Jonah	metzudat-david-on-jonah	מצודת דוד על יונה	Metzudat David on Jonah
Metzudat David on Jos	metzudat-david-on-joshua	מצודת דוד על יהושע	Metzudat David on Joshua
Metzudat David on Jos.	metzudat-david-on-joshua	מצודת דוד על יהושע	Metzudat David on Joshua
Metzudat David on Josh	metzudat-david-on-joshua	מצודת דוד על יהושע	Metzudat David on Joshua
Metzudat David on Josh.	metzudat-david-on-joshua	מצודת דוד על יהושע	Metzudat David on Joshua
Metzudat David on Joshua	metzudat-david-on-joshua	מצודת דוד על יהושע	Metzudat David on Joshua
Metzudat David on Judg	metzudat-david-on-judges	מצודת דוד על שופטים	Metzudat David on Judges
Metzudat David on Judg.	metzudat-david-on-judges	מצודת דוד על שופטים	Metzudat David on Judges
Metzudat David on Judges	metzudat-david-on-judges	מצודת דוד על שופטים	Metzudat David on Judges
Metzudat David on Kings I	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on Kings II	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on Kohelet	metzudat-david-on-ecclesiastes	מצודת דוד על קהלת	Metzudat David on Ecclesiastes
Metzudat David on Koheleth	metzudat-david-on-ecclesiastes	מצודת דוד על קהלת	Metzudat David on Ecclesiastes
Metzudat David on Mal	metzudat-david-on-malachi	מצודת דוד על מלאכי	Metzudat David on Malachi
Metzudat David on Mal.	metzudat-david-on-malachi	מצודת דוד על מלאכי	Metzudat David on Malachi
Metzudat David on Malachi	metzudat-david-on-malachi	מצודת דוד על מלאכי	Metzudat David on Malachi
Metzudat David on Melachim Aleph	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on Melachim Bet	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on Melachim I	metzudat-david-on-i-kings	מצודת דוד על מלכים א	Metzudat David on I Kings
Metzudat David on Melachim II	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on Mic	metzudat-david-on-micah	מצודת דוד על מיכה	Metzudat David on Micah
Metzudat David on Mic.	metzudat-david-on-micah	מצודת דוד על מיכה	Metzudat David on Micah
Metzudat David on Micah	metzudat-david-on-micah	מצודת דוד על מיכה	Metzudat David on Micah
Metzudat David on Michah	metzudat-david-on-micah	מצודת דוד על מיכה	Metzudat David on Micah
Metzudat David on Mikha	metzudat-david-on-micah	מצודת דוד על מיכה	Metzudat David on Micah
Metzudat David on Mishlei	metzudat-david-on-proverbs	מצודת דוד על משלי	Metzudat David on Proverbs
Metzudat David on Nah	metzudat-david-on-nahum	מצודת דוד על נחום	Metzudat David on Nahum
Metzudat David on Nah.	metzudat-david-on-nahum	מצודת דוד על נחום	Metzudat David on Nahum
Metzudat David on Nahum	metzudat-david-on-nahum	מצודת דוד על נחום	Metzudat David on Nahum
Metzudat David on Neh	metzudat-david-on-nehemiah	מצודת דוד על נחמיה	Metzudat David on Nehemiah
Metzudat David on Neh.	metzudat-david-on-nehemiah	מצודת דוד על נחמיה	Metzudat David on Nehemiah
Metzudat David on Nehemiah	metzudat-david-on-nehemiah	מצודת דוד על נחמיה	Metzudat David on Nehemiah
Metzudat David on Obadiah	metzudat-david-on-obadiah	מצודת דוד על עובדיה	Metzudat David on Obadiah
Metzudat David on Ovadiah	metzudat-david-on-obadiah	מצודת דוד על עובדיה	Metzudat David on Obadiah
Metzudat David on Pro	metzudat-david-on-proverbs	מצודת דוד על משלי	Metzudat David on Proverbs
Metzudat David on Pro.	metzudat-david-on-proverbs	מצודת דוד על משלי	Metzudat David on Proverbs
Metzudat David on Prov	metzudat-david-on-proverbs	מצודת דוד על משלי	Metzudat David on Proverbs
Metzudat David on Prov.	metzudat-david-on-proverbs	מצודת דוד על משלי	Metzudat David on Proverbs
Metzudat David on Proverbs	metzudat-david-on-proverbs	מצודת דוד על משלי	Metzudat David on Proverbs
Metzudat David on Ps	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Ps.	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Psa	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Psa.	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Psalm	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Psalms	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Samuel I	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on Samuel II	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on Second Chronicles	metzudat-david-on-ii-chronicles	מצודת דוד על דברי הימים ב	Metzudat David on II Chronicles
Metzudat David on Second Kings	metzudat-david-on-ii-kings	מצודת דוד על מלכים ב	Metzudat David on II Kings
Metzudat David on Second Samuel	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on Shir HaShirim	metzudat-david-on-song-of-songs	מצודת דוד על שיר השירים	Metzudat David on Song of Songs
Metzudat David on Shmuel Aleph	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on Shmuel Bet	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on Shmuel I	metzudat-david-on-i-samuel	מצודת דוד על שמואל א	Metzudat David on I Samuel
Metzudat David on Shmuel II	metzudat-david-on-ii-samuel	מצודת דוד על שמואל ב	Metzudat David on II Samuel
Metzudat David on Shoftim	metzudat-david-on-judges	מצודת דוד על שופטים	Metzudat David on Judges
Metzudat David on Song	metzudat-david-on-song-of-songs	מצודת דוד על שיר השירים	Metzudat David on Song of Songs
Metzudat David on Song of Songs	metzudat-david-on-song-of-songs	מצודת דוד על שיר השירים	Metzudat David on Song of Songs
Metzudat David on Song.	metzudat-david-on-song-of-songs	מצודת דוד על שיר השירים	Metzudat David on Song of Songs
Metzudat David on Tehilim	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Tehillim	metzudat-david-on-psalms	מצודת דוד על תהילים	Metzudat David on Psalms
Metzudat David on Tzephaniah	metzudat-david-on-zephaniah	מצודת דוד על צפניה	Metzudat David on Zephaniah
Metzudat David on Yechezkel	metzudat-david-on-ezekiel	מצודת דוד על יחזקאל	Metzudat David on Ezekiel
Metzudat David on Yehezkel	metzudat-david-on-ezekiel	מצודת דוד על יחזקאל	Metzudat David on Ezekiel
Metzudat David on Yehoshua	metzudat-david-on-joshua	מצודת דוד על יהושע	Metzudat David on Joshua
Metzudat David on Yirmiyahu	metzudat-david-on-jeremiah	מצודת דוד על ירמיהו	Metzudat David on Jeremiah
Metzudat David on Yirmiyohu	metzudat-david-on-jeremiah	מצודת דוד על ירמיהו	Metzudat David on Jeremiah
Metzudat David on Yishayahu	metzudat-david-on-isaiah	מצודת דוד על ישעיהו	Metzudat David on Isaiah
Metzudat David on Yoel	metzudat-david-on-joel	מצודת דוד על יואל	Metzudat David on Joel
Metzudat David on Yonah	metzudat-david-on-jonah	מצודת דוד על יונה	Metzudat David on Jonah
Metzudat David on Zachariah	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
Metzudat David on Zech	metzudat-david-on-zechariah	מצודת דוד על זכריה	Metzudat David on Zechariah
